score,time,action
26-27,,Fin del período
26-27,P3 10:00:00,"14, MARTINA MARIÑO, Sustitución (sale)"
26-27,P3 10:00:00,"27, ROMINA DALESANDRO, Sustitución (sale)"
26-27,P3 10:00:00,"21, NATASHA DOLINSKY, Sustitución (ingresa)"
26-27,P3 10:00:00,"30, ABRIL MIERES, Sustitución (ingresa)"
26-27,P3 10:00:00,"7, FLORENCIA FERNANDEZ, Sustitución (sale)"
26-27,P3 10:00:00,"32, PAULA FERNANDEZ, Sustitución (sale)"
26-27,P3 10:00:00,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (ingresa)"
26-27,P3 10:00:00,"15, FLORENCIA SOMMA, Sustitución (ingresa)"
26-27,,Inicio del período
29-27,,"9, JOAQUINA GREGORIO, 3pt  convertido"
29-27,P3 09:48:00,"6, ANA CLARA PAZ, Asistencia"
29-27,P3 09:23:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
29-27,P3 09:20:00,"30, ABRIL MIERES, Rebote defensivo"
29-27,P3 09:04:00,"6, ANA CLARA PAZ, Pérdida mal pase"
29-27,P3 09:04:00,"15, FLORENCIA SOMMA, Recupero"
29-27,P3 08:59:00,"6, ANA CLARA PAZ, Falta personal"
29-27,P3 08:59:00,"5, FIORELLA MARTINELLI, Falta recibida"
29-27,P3 08:59:00,"5, FIORELLA MARTINELLI, Lanzamiento libre 1 de 2"
29-28,,"5, FIORELLA MARTINELLI, Lanzamiento libre 2 de 2  convertido"
29-28,P3 08:59:00,"15, FLORENCIA SOMMA, Asistencia"
29-28,P3 08:43:00,"6, ANA CLARA PAZ, 3pt"
29-28,P3 08:41:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
29-28,P3 08:35:00,"5, FIORELLA MARTINELLI, 3pt"
29-28,P3 08:33:00,Rebote defensivo
29-28,P3 08:23:00,"21, NATASHA DOLINSKY, 3pt"
29-28,P3 08:21:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
29-28,P3 08:11:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
29-28,P3 08:09:00,"21, NATASHA DOLINSKY, Rebote defensivo"
32-28,,"9, JOAQUINA GREGORIO, 3pt  convertido"
32-28,P3 07:51:00,"6, ANA CLARA PAZ, Asistencia"
32-30,,"15, FLORENCIA SOMMA, 2pt bandeja  convertido"
32-30,P3 07:04:00,"21, NATASHA DOLINSKY, 3pt"
32-30,P3 07:01:00,"14, EMILIA LARRE BORGES, Rebote defensivo"
32-30,P3 06:51:00,"14, EMILIA LARRE BORGES, 2pt jumpshot"
32-30,P3 06:48:00,"5, FIORELLA MARTINELLI, Rebote ofensivo"
32-30,P3 06:47:00,"5, FIORELLA MARTINELLI, Pérdida mal pase"
32-30,P3 06:47:00,"3, SOFIA BERGDAHL, Recupero"
32-30,P3 06:38:00,"4, FERNANDA MIDAGLIA DE LEON, Falta personal"
32-30,P3 06:38:00,"9, JOAQUINA GREGORIO, Falta recibida"
32-30,P3 06:28:00,"3, SOFIA BERGDAHL, 3pt"
32-30,P3 06:27:00,Rebote ofensivo
32-30,P3 06:11:00,"9, JOAQUINA GREGORIO, 3pt"
32-30,P3 06:09:00,"9, JOAQUINA GREGORIO, Rebote ofensivo"
34-30,,"9, JOAQUINA GREGORIO, 2pt bandeja  convertido"
34-30,P3 05:52:00,"30, ABRIL MIERES, Falta personal"
34-30,P3 05:52:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
34-31,,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2  convertido"
34-31,P3 05:52:00,"4, FERNANDA MIDAGLIA DE LEON, Asistencia"
34-31,P3 05:52:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
34-31,P3 05:52:00,"14, EMILIA LARRE BORGES, Rebote ofensivo"
34-31,P3 05:48:00,"30, ABRIL MIERES, Falta personal"
34-31,P3 05:48:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
34-31,P3 05:48:00,"30, ABRIL MIERES, Sustitución (sale)"
34-31,P3 05:48:00,"10, DAIANA CARTRO, Sustitución (ingresa)"
34-32,,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2  convertido"
34-32,P3 05:48:00,"14, EMILIA LARRE BORGES, Asistencia"
34-32,P3 05:48:00,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
34-32,P3 05:48:00,"21, NATASHA DOLINSKY, Rebote defensivo"
37-32,,"21, NATASHA DOLINSKY, 3pt  convertido"
37-32,P3 05:15:00,"10, DAIANA CARTRO, Asistencia"
37-34,,"10, RAPHAELLA MARCIANO DA SILVA, 2pt bandeja  convertido"
37-34,P3 04:55:00,"15, FLORENCIA SOMMA, Asistencia"
37-34,P3 04:34:00,"3, SOFIA BERGDAHL, 3pt"
37-34,P3 04:34:00,Rebote defensivo
37-36,,"15, FLORENCIA SOMMA, 2pt bandeja  convertido"
37-36,P3 04:27:00,"10, RAPHAELLA MARCIANO DA SILVA, Asistencia"
37-36,P3 03:56:00,Pérdida reloj de tiro
37-36,P3 03:56:00,"3, SOFIA BERGDAHL, Sustitución (sale)"
37-36,P3 03:56:00,"14, MARTINA MARIÑO, Sustitución (ingresa)"
37-36,P3 03:49:00,"14, EMILIA LARRE BORGES, 3pt"
37-36,P3 03:47:00,"4, FERNANDA MIDAGLIA DE LEON, Rebote ofensivo"
37-36,P3 03:47:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
37-36,P3 03:45:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote ofensivo"
37-36,P3 03:44:00,"10, RAPHAELLA MARCIANO DA SILVA, 2pt jumpshot"
37-36,P3 03:42:00,"21, NATASHA DOLINSKY, Rebote defensivo"
37-36,P3 03:24:00,"14, MARTINA MARIÑO, Pérdida manejo de balón"
37-36,P3 03:24:00,"5, FIORELLA MARTINELLI, Recupero"
37-36,P3 03:18:00,"6, ANA CLARA PAZ, Falta personal"
37-36,P3 03:18:00,"5, FIORELLA MARTINELLI, Falta recibida"
37-36,P3 03:18:00,"5, FIORELLA MARTINELLI, Lanzamiento libre 1 de 3"
37-36,P3 03:18:00,"5, FIORELLA MARTINELLI, Lanzamiento libre 2 de 3"
37-37,,"5, FIORELLA MARTINELLI, Lanzamiento libre 3 de 3  convertido"
40-37,,"6, ANA CLARA PAZ, 3pt  convertido"
40-37,P3 03:11:00,"21, NATASHA DOLINSKY, Asistencia"
40-37,P3 02:44:00,"5, FIORELLA MARTINELLI, 3pt"
40-37,P3 02:42:00,Rebote defensivo
40-37,P3 02:42:00,"5, FIORELLA MARTINELLI, Sustitución (sale)"
40-37,P3 02:42:00,"8, CAROLINA FERNANDEZ, Sustitución (ingresa)"
40-37,P3 02:42:00,"4, FERNANDA MIDAGLIA DE LEON, Sustitución (sale)"
40-37,P3 02:42:00,"11, SABINA BELLO, Sustitución (ingresa)"
40-37,P3 02:29:00,"9, JOAQUINA GREGORIO, 2pt jumpshot"
40-37,P3 02:27:00,Salto bola retenida
40-37,P3 02:27:00,"15, FLORENCIA SOMMA, Rebote defensivo"
40-37,P3 02:06:00,"15, FLORENCIA SOMMA, 3pt"
40-37,P3 02:04:00,"14, EMILIA LARRE BORGES, Rebote ofensivo"
40-39,,"10, RAPHAELLA MARCIANO DA SILVA, 2pt bandeja  convertido"
40-39,P3 02:04:00,"14, EMILIA LARRE BORGES, Asistencia"
42-39,,"10, DAIANA CARTRO, 2pt bandeja  convertido"
42-39,P3 01:49:00,"9, JOAQUINA GREGORIO, Asistencia"
42-39,P3 01:23:00,"14, EMILIA LARRE BORGES, 3pt"
42-39,P3 01:21:00,"21, NATASHA DOLINSKY, Rebote defensivo"
45-39,,"6, ANA CLARA PAZ, 3pt  convertido"
45-39,P3 01:12:00,"9, JOAQUINA GREGORIO, Asistencia"
45-39,P3 01:10:00,Tiempo muerto completo
45-39,P3 00:58:00,"15, FLORENCIA SOMMA, Pérdida mal pase"
45-39,P3 00:58:00,"10, DAIANA CARTRO, Recupero"
47-39,,"6, ANA CLARA PAZ, 2pt bandeja con manejo  convertido"
47-42,,"8, CAROLINA FERNANDEZ, 3pt  convertido"
47-42,P3 00:05:70,"15, FLORENCIA SOMMA, Falta personal"
47-42,P3 00:05:70,"21, NATASHA DOLINSKY, Falta recibida"
47-42,P3 00:05:70,"15, FLORENCIA SOMMA, Sustitución (sale)"
47-42,P3 00:05:70,"32, PAULA FERNANDEZ, Sustitución (ingresa)"
47-42,P3 00:03:50,"11, SABINA BELLO, Sustitución (sale)"
47-42,P3 00:03:50,"7, FLORENCIA FERNANDEZ, Sustitución (ingresa)"
47-42,P3 00:03:50,Tiempo muerto completo
47-42,P3 00:03:50,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (sale)"
47-42,P3 00:03:50,"22, AILEN SOSA, Sustitución (ingresa)"
47-42,P3 00:02:60,"6, ANA CLARA PAZ, 2pt bandeja"
47-42,,Fin del período
47-42,P4 10:00:00,"22, AILEN SOSA, Sustitución (sale)"
47-42,P4 10:00:00,"32, PAULA FERNANDEZ, Sustitución (sale)"
47-42,P4 10:00:00,"11, SABINA BELLO, Sustitución (ingresa)"
47-42,P4 10:00:00,"15, FLORENCIA SOMMA, Sustitución (ingresa)"
47-42,,Inicio del período
47-42,P4 09:45:00,"14, MARTINA MARIÑO, Pérdida mal pase"
47-42,P4 09:45:00,"14, EMILIA LARRE BORGES, Recupero"
47-42,P4 09:30:00,"11, SABINA BELLO, Pérdida mal pase"
47-42,P4 09:30:00,"14, MARTINA MARIÑO, Recupero"
49-42,,"14, MARTINA MARIÑO, 2pt bandeja con manejo  convertido"
49-44,,"15, FLORENCIA SOMMA, 2pt bandeja  convertido"
49-44,P4 08:43:00,"6, ANA CLARA PAZ, Pérdida mal pase"
49-46,,"11, SABINA BELLO, 2pt jumpshot  convertido"
49-46,P4 08:01:00,"14, MARTINA MARIÑO, 2pt jumpshot"
49-46,P4 08:00:00,"10, DAIANA CARTRO, Rebote ofensivo"
49-46,P4 08:00:00,"14, EMILIA LARRE BORGES, Falta personal"
49-46,P4 08:00:00,"10, DAIANA CARTRO, Falta recibida"
49-46,P4 07:45:00,"6, ANA CLARA PAZ, Pérdida manejo de balón"
49-46,P4 07:45:00,"15, FLORENCIA SOMMA, Recupero"
49-46,P4 07:37:00,"7, FLORENCIA FERNANDEZ, 3pt"
49-46,P4 07:35:00,"10, DAIANA CARTRO, Rebote defensivo"
51-46,,"21, NATASHA DOLINSKY, 2pt jumpshot  convertido"
51-46,P4 07:00:00,"14, MARTINA MARIÑO, Falta personal"
51-46,P4 07:00:00,"14, EMILIA LARRE BORGES, Falta recibida"
51-49,,"8, CAROLINA FERNANDEZ, 3pt  convertido"
51-49,P4 06:56:00,"11, SABINA BELLO, Asistencia"
53-49,,"21, NATASHA DOLINSKY, 2pt bandeja  convertido"
53-52,,"7, FLORENCIA FERNANDEZ, 3pt  convertido"
53-52,P4 06:23:00,"11, SABINA BELLO, Asistencia"
53-52,P4 06:06:00,"9, JOAQUINA GREGORIO, Pérdida mal pase"
53-52,P4 06:06:00,"11, SABINA BELLO, Recupero"
53-52,P4 05:59:00,"15, FLORENCIA SOMMA, 2pt jumpshot"
53-52,P4 05:57:00,"15, FLORENCIA SOMMA, Rebote ofensivo"
53-52,P4 05:57:00,"9, JOAQUINA GREGORIO, Falta personal"
53-52,P4 05:57:00,"15, FLORENCIA SOMMA, Falta recibida"
53-55,,"11, SABINA BELLO, 3pt  convertido"
53-55,P4 05:51:00,"15, FLORENCIA SOMMA, Asistencia"
53-55,P4 05:49:00,Tiempo muerto completo
53-55,P4 05:49:00,"10, DAIANA CARTRO, Sustitución (sale)"
53-55,P4 05:49:00,"3, SOFIA BERGDAHL, Sustitución (ingresa)"
55-55,,"6, ANA CLARA PAZ, 2pt bandeja  convertido"
55-55,P4 05:33:00,"9, JOAQUINA GREGORIO, Asistencia"
55-55,P4 05:20:00,"7, FLORENCIA FERNANDEZ, 2pt jumpshot"
55-55,P4 05:17:00,"11, SABINA BELLO, Rebote ofensivo"
55-55,P4 05:12:00,"7, FLORENCIA FERNANDEZ, 3pt"
55-55,P4 05:10:00,"9, JOAQUINA GREGORIO, Rebote defensivo"
55-55,P4 04:53:00,"21, NATASHA DOLINSKY, 2pt jumpshot"
55-55,P4 04:53:00,"15, FLORENCIA SOMMA, Bloqueo"
55-55,P4 04:48:00,"15, FLORENCIA SOMMA, Rebote defensivo"
55-55,P4 04:30:00,"8, CAROLINA FERNANDEZ, 3pt"
55-55,P4 04:27:00,"3, SOFIA BERGDAHL, Rebote defensivo"
55-55,P4 04:20:00,"7, FLORENCIA FERNANDEZ, Sustitución (sale)"
55-55,P4 04:20:00,"4, FERNANDA MIDAGLIA DE LEON, Sustitución (ingresa)"
55-55,P4 04:03:00,"14, MARTINA MARIÑO, 2pt jumpshot"
55-55,P4 04:00:00,Rebote ofensivo
55-55,P4 03:53:00,"11, SABINA BELLO, Falta personal"
55-55,P4 03:53:00,"6, ANA CLARA PAZ, Falta recibida"
55-55,P4 03:46:00,"21, NATASHA DOLINSKY, 3pt"
55-55,P4 03:45:00,"4, FERNANDA MIDAGLIA DE LEON, Rebote defensivo"
55-55,P4 03:26:00,"15, FLORENCIA SOMMA, 2pt jumpshot"
55-55,P4 03:24:00,"21, NATASHA DOLINSKY, Rebote defensivo"
55-55,P4 03:18:00,"3, SOFIA BERGDAHL, 3pt"
55-55,P4 03:16:00,"15, FLORENCIA SOMMA, Rebote defensivo"
55-58,,"11, SABINA BELLO, 3pt  convertido"
55-58,P4 02:52:00,Falta técnica al entrenador
55-58,P4 02:52:00,Pérdida ofensiva
55-58,P4 02:52:00,"15, FLORENCIA SOMMA, Lanzamiento libre 1 de 1"
57-58,,"6, ANA CLARA PAZ, 2pt bandeja  convertido"
57-58,P4 02:42:00,"9, JOAQUINA GREGORIO, Asistencia"
57-58,P4 02:20:00,"4, FERNANDA MIDAGLIA DE LEON, 2pt jumpshot"
57-58,P4 02:17:00,"14, MARTINA MARIÑO, Rebote defensivo"
59-58,,"6, ANA CLARA PAZ, 2pt bandeja  convertido"
59-58,P4 01:56:00,"11, SABINA BELLO, Falta personal"
59-58,P4 01:56:00,"6, ANA CLARA PAZ, Falta recibida"
59-58,P4 01:56:00,"11, SABINA BELLO, Sustitución (sale)"
59-58,P4 01:56:00,"10, RAPHAELLA MARCIANO DA SILVA, Sustitución (ingresa)"
59-58,P4 01:56:00,"6, ANA CLARA PAZ, Lanzamiento libre 1 de 1"
59-58,P4 01:56:00,"10, RAPHAELLA MARCIANO DA SILVA, Rebote defensivo"
59-60,,"10, RAPHAELLA MARCIANO DA SILVA, 2pt bandeja  convertido"
59-60,P4 01:42:00,"4, FERNANDA MIDAGLIA DE LEON, Asistencia"
59-60,P4 01:23:00,"6, ANA CLARA PAZ, Pérdida manejo de balón"
59-60,P4 01:23:00,"15, FLORENCIA SOMMA, Recupero"
59-60,P4 01:19:00,"8, CAROLINA FERNANDEZ, Falta técnica"
59-60,P4 01:19:00,"8, CAROLINA FERNANDEZ, Pérdida ofensiva"
60-60,,"21, NATASHA DOLINSKY, Lanzamiento libre 1 de 1  convertido"
60-60,P4 01:19:00,Tiempo muerto completo
60-60,P4 01:10:00,"4, FERNANDA MIDAGLIA DE LEON, Pérdida mal pase"
60-60,P4 01:10:00,"6, ANA CLARA PAZ, Recupero"
60-60,P4 01:08:00,"14, MARTINA MARIÑO, Sustitución (sale)"
60-60,P4 01:08:00,"10, DAIANA CARTRO, Sustitución (ingresa)"
60-60,P4 01:08:00,"10, RAPHAELLA MARCIANO DA SILVA, Falta personal"
60-60,P4 01:08:00,"10, DAIANA CARTRO, Falta recibida"
60-60,P4 01:08:00,"14, EMILIA LARRE BORGES, Sustitución (sale)"
60-60,P4 01:08:00,"5, FIORELLA MARTINELLI, Sustitución (ingresa)"
60-60,P4 01:08:00,"10, DAIANA CARTRO, Lanzamiento libre 1 de 2"
61-60,,"10, DAIANA CARTRO, Lanzamiento libre 2 de 2  convertido"
61-60,P4 00:55:80,"10, DAIANA CARTRO, Falta personal"
61-60,P4 00:55:80,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
61-60,P4 00:55:80,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2"
61-60,P4 00:55:80,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
61-60,P4 00:55:80,"21, NATASHA DOLINSKY, Rebote defensivo"
61-60,P4 00:33:10,"3, SOFIA BERGDAHL, 3pt"
61-60,P4 00:31:20,"3, SOFIA BERGDAHL, Rebote ofensivo"
61-60,P4 00:31:20,"10, RAPHAELLA MARCIANO DA SILVA, Falta personal"
61-60,P4 00:31:20,"3, SOFIA BERGDAHL, Falta recibida"
61-60,P4 00:30:40,"3, SOFIA BERGDAHL, Lanzamiento libre 1 de 2"
61-60,P4 00:30:40,"3, SOFIA BERGDAHL, Lanzamiento libre 2 de 2"
61-60,P4 00:30:40,"15, FLORENCIA SOMMA, Rebote defensivo"
61-60,P4 00:18:90,"10, DAIANA CARTRO, Falta personal"
61-60,P4 00:18:90,"10, RAPHAELLA MARCIANO DA SILVA, Falta recibida"
61-61,,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 1 de 2  convertido"
61-61,P4 00:18:90,"10, RAPHAELLA MARCIANO DA SILVA, Lanzamiento libre 2 de 2"
61-61,P4 00:18:90,"6, ANA CLARA PAZ, Rebote defensivo"
63-61,,"10, DAIANA CARTRO, 2pt bandeja  convertido"
63-61,P4 00:03:50,"6, ANA CLARA PAZ, Asistencia"
63-61,,Fin del período
63-61,,Fin del juego
